2009排名,2008排名,公司名称,国家/地区,营业收入百万美元,利润百万美元
211,194,Royal Bank of Canada,加拿大,36615.5,4439.7
212,220,Honeywell International,美国,36556.0,2792.0
213,267,GS Holdings,韩国,36502.8,102.1
214,260,TUI,德国,36495.7,-177.5
215,210,Mitsubishi Electric,日本,36482.8,121.1
216,250,Lufthansa Group,德国,36401.8,876.7
217,269,Sumitomo Life Insurance,日本,36307.6,1037.6
218,349,Noble Group,中国,36090.2,577.3
219,176,Sprint Nextel,美国,35635.0,-2796.0
220,259,Baosteel Group,中国,35516.6,2313.8
221,69,Aviva,英国,35505.8,-1677.8
222,369,Continental,德国,35477.8,-1644.5
223,301,Enterprise GP Holdings,美国,35469.6,164.1
224,244,GMAC,美国,35445.0,1868.0
225,173,Sumitomo Mitsui Financial Group,日本,35365.2,-3717.4
226,271,Power Corp. of Canada,加拿大,35125.1,813.9
227,331,GasTerra,荷兰,35059.1,52.7
228,182,Mizuho Financial Group,日本,34982.8,-5861.1
229,236,Sumitomo,日本,34954.4,2140.9
230,256,ABB,瑞士,34944.0,3118.0
231,232,Tokio Marine Holdings?,日本,34870.0,230.3
232,243,KDDI,日本,34814.4,2217.1
233,196,Commerzbank,德国,34775.7,4.4
234,.,TNK-BP Holding,俄罗斯,34668.0,6384.0
235,216,Ingram Micro,美国,34362.2,-394.9
236,238,Danske Bank Group,丹麦,34291.3,198.5
237,248,Comcast,美国,34256.0,2547.0
238,322,Itochu,日本,34033.5,1646.3
239,237,Northrop Grumman,美国,33940.0,-1262.0
240,222,Air France-KLM Group,法国,33854.6,-1149.4
241,270,ACS,西班牙,33825.1,2642.0
242,341,China Railway Group,中国,33758.4,160.5
243,285,Mitsubishi Heavy Industries,日本,33601.6,241.1
244,262,Idemitsu Kosan,日本,33521.5,33.1
245,229,DZ Bank,德国,33484.7,-1771.1
246,313,Cepsa,西班牙,33417.4,402.5
247,326,Australia & New Zealand Banking,澳大利亚,33396.0,3002.8
248,241,Wolseley,英国,33083.7,147.9
249,477,PKN Orlen Group,波兰,33043.0,-1040.8
250,280,News Corp.,美国,32996.0,5387.0
251,213,KBC Group,比利时,32606.5,-3635.8
252,356,China Railway Construction,中国,32538.4,524.3
253,337,Apple?,美国,32479.0,4834.0
254,254,George Weston,加拿大,32360.6,780.2
255,121,Zurich Financial Services,瑞士,32349.0,3039.0
256,111,Lloyds Banking Group,英国,32195.9,1501.8
257,490,CHS,美国,32167.5,803.0
258,315,Tata Steel,印度,32018.0,1075.9
259,275,Coca-Cola,美国,31944.0,5807.0
260,234,American Express,美国,31877.0,2699.0
261,208,J. Sainsbury,英国,31876.4,487.1
262,252,DuPont,美国,31836.0,2007.0
263,288,China Telecommunications,中国,31813.6,-50.6
264,206,Reliance Industries,印度,31792.3,3320.5
265,289,L.M. Ericsson,瑞典,31688.4,1709.8
266,.,Showa Shell Sekiyu,日本,31664.0,-156.9
267,319,Commonwealth Bank of Australia,澳大利亚,31654.3,4286.9
268,265,AstraZeneca,英国,31601.0,6101.0
269,268,New York Life Insurance,美国,31416.2,-949.7
270,276,Bridgestone,日本,31292.5,100.7
271,212,Denso,日本,31282.2,-837.0
272,211,National Australia Bank,澳大利亚,31212.9,4103.8
273,283,América Móvil?,墨西哥,31012.5,5337.1
274,291,Aetna,美国,30950.7,1384.1
275,292,Flextronics International,新加坡,30948.6,-6086.1
276,230,Manulife Financial,加拿大,30947.5,484.8
277,284,PPR,法国,30663.3,1352.7
278,277,CRH,爱尔兰,30572.0,1826.7
279,281,BAE Systems,英国,30569.5,3199.8
280,239,La Poste,法国,30487.1,774.3
281,286,Hutchison Whampoa,中国,30239.6,2268.5
282,200,Motorola,美国,30146.0,-4244.0
283,402,Westpac Banking,澳大利亚,30108.2,3491.3
284,393,EnCana,加拿大,30064.0,5944.0
285,394,Arcandor,德国,30063.4,-1119.5
286,416,Plains All American Pipeline,美国,30061.0,437.0
287,.,Wesfarmers?,澳大利亚,30050.0,939.5
288,354,Nordea Bank,瑞典,30018.7,3909.5
289,287,Bharat Petroleum,印度,29989.0,137.7
290,251,Suzuki Motor,日本,29910.8,273.0
291,300,Cathay Life Insurance,中国台湾,29852.2,-62.6
292,385,China State Construction Engineering,中国,29806.7,350.2
