排名,上年排名,公司名称(中文),营业收入(百万美元),利润(百万美元),国家
135,139,联合利华（UNILEVER),65957.9,5757.4,英国/荷兰
136,155,卡特彼勒（CATERPILLAR),65875.0,5681.0,美国
137,133,百事公司（PEPSICO),65492.0,6178.0,美国
138,140,州立农业保险公司（STATE FARM INSURANCE COS.),65285.7,3159.2,美国
139,124,莱茵集团（RWE),65247.2,1678.4,德国
140,135,美国邮政（U.S. POSTAL SERVICE),65223.0,-15906.0,美国
141,165,中国第一汽车集团公司（CHINA FAW GROUP),64886.0,2622.4,中国
142,145,日本第一生命保险（DAI-ICHI LIFE INSURANCE),63630.9,390.5,日本
143,160,邦吉公司（BUNGE),63494.0,64.0,美国
144,9,康菲石油公司（CONOCOPHILLIPS),63373.0,8428.0,美国
145,167,美国康卡斯特电信公司（COMCAST),62570.0,6203.0,美国
146,142,东风汽车集团（DONGFENG MOTOR GROUP),61721.9,1333.6,中国
147,150,Wellpoint公司（WELLPOINT),61711.7,2655.5,美国
148,126,辉瑞制药有限公司（PFIZER),61244.0,14570.0,美国
149,206,亚马逊（AMAZON.COM),61093.0,-39.0,美国
150,151,Seven & I 控股公司（SEVEN & I HOLDINGS),60864.7,1683.5,日本
151,228,荷兰全球保险集团（AEGON),60673.5,1967.5,荷兰
152,149,欧尚集团（GROUPE AUCHAN),60312.3,843.0,法国
153,171,西农（WESFARMERS),59901.8,2192.7,澳大利亚
154,163,联合技术公司（UNITED TECHNOLOGIES),59783.0,5130.0,美国
155,122,蒂森克虏伯（THYSSENKRUPP),59483.7,-6054.3,德国
156,132,三井物产株式会社（MITSUI),59146.7,3708.1,日本
157,154,马士基集团（A.P. M?LLER-M?RSK GROUP),59064.6,3742.3,丹麦
158,176,美洲电信（AMéRICA MóVIL),58919.4,6951.2,墨西哥
159,175,澳大利亚伍尔沃斯公司（WOOLWORTHS),58621.8,1873.7,澳大利亚
160,168,丸红株式会社（MARUBENI),58541.0,2477.0,日本
161,205,中国兵器工业集团公司（CHINA NORTH INDUSTRIES GROUP CORPORATION),58027.8,675.2,中国
162,157,诺华公司（NOVARTIS),57561.0,9505.0,瑞士
163,144,三菱日联金融集团（MITSUBISHI UFJ FINANCIAL GROUP),57359.8,10267.5,日本
164,96,日本明治安田生命保险公司（MEIJI YASUDA LIFE INSURANCE),56944.4,2850.5,日本
165,147,戴尔（DELL),56940.0,2372.0,美国
166,156,陶氏化学（DOW CHEMICAL),56786.0,1182.0,美国
167,146,韩国浦项制铁公司（POSCO),56472.5,2186.0,韩国
168,136,巴西布拉德斯科银行（BANCO BRADESCO),55952.8,5779.9,巴西
169,182,法国国家人寿保险公司（CNP ASSURANCES),55934.9,1222.7,法国
