排名,公司名称,国家,营业收入百万美元,利润百万美元,资产百万美元,雇员人数
481,KREDITANSTALT FUR WIEDERAUFBAU,德国,"9,153.20",256.90,"189,134.20","1,827"
482,ASTRAZENECA,英国,"9,132.80","1,183.40","9,001.70","34,600"
483,UPM-KYMMENE,芬兰,"9,128.90","1,123.30","13,444.60","32,351"
484,NORDDEUTSCHE LANDESBANK,德国,"9,125.70",203.70,"178,397.00","7,080"
485,CHINESE PETROLEUM,中国,"9,115.50",890.00,"15,689.20","18,684"
486,ST.PAUL COS,美国,"9,108.40",89.30,"38,322.70","14,000"
487,SPAR HANDLES,德国,"9,072.90",19.40,"2,264.80","32,639"
488,CBS,美国,"9,061.00",-21.00,"20,139.00","46,189"
489,LEAR,美国,"9,059.40",115.50,"5,677.30","65,466"
490,GAP,美国,"9,054.50",824.50,"3,963.90","111,000"
491,NORTHWEST AIRLINES,美国,"9,044.80",-285.50,"10,280.80","50,565"
492,GREAT UNIVERSAL STORES,英国,"9,043.50",534.30,"9,332.80","55,575"
493,TORONTO-DOMINION BANK,加拿大,"9,018.10",766.20,"117,535.60","29,236"
494,OFFICE DEPOT,美国,"8,997.70",233.20,"4,113.00","33,000"
495,COLGATE-PALMOLIVE,美国,"8,971.60",848.60,"7,685.20","38,300"
496,BURLINGTON NORTHERN SANTA FE,美国,"8,941.00","1,155.00","22,690.00","42,900"
497,DEGUSSA-HULS,德国,"8,924.30",307.50,"6,036.60","26,364"
498,MITSUI FUDOSAN,日本,"8,920.50",-280.00,"27,038.10","12,194"
499,JOHN HANCOCK MUTUAL LIFE INS,美国,"8,911.70",627.30,"67,079.40","7,959"
500,NORTHROP GRUMMAN,美国,"8,902.00",214.00,"9,564.00","49,600"
