排序,公司名称,国家地区,营业收入百万美元,利润百万美元,资产百万美元,股东权益百万美元,雇员人数
208,GROUPE CAISSE D’EPARGNE,法国,"23,077.8","1,263.0","480,156.8","12,976.6","44,700"
209,CATERPILLAR,美国,"22,763.0","1,099.0","36,465.0","6,078.0","69,169"
210,TUI,德国,"22,730.4",311.2,"16,383.7","3,130.4","64,257"
211,UFJ HOLDINGS,日本,"22,722.9","-3,566.1","789,484.5","16,005.1","34,269"
212,VOLVO,瑞典,"22,692.4",36.9,"32,139.4","10,342.9","73,156"
213,DENSO,日本,"22,685.1",974.1,"24,285.0","14,509.4","95,461"
214,FUJI PHOTO FILM,日本,"22,667.2",728.8,"29,062.3","16,820.0","73,164"
215,JOHNSON CONTROLS,美国,"22,646.0",682.9,"13,127.3","4,261.3","118,000"
216,BELLSOUTH,美国,"22,635.0","3,904.0","49,702.0","19,712.0","75,743"
217,MITSUBISHI TOKYO FINANCIAL GROUP,日本,"22,621.1","4,964.9","1,024,798.7","41,286.3","20,323"
218,INGRAM MICRO,美国,"22.,613.0",149.2,"5,474.2","1,872.9","11,300"
219,EAST JAPAN RAILWAY,日本,"22,507.0","1,061.2","65,186.3","10,575.0","77,009"
220,KANSAI ELECTRIC POWER,日本,"22,488.1",797.8,"68,734.5","15,737.4","33,935"
221,FEDEX,美国,"22,487.0",830.0,"15,385.0","7,288.0","190,918"
222,MERCK,美国,"22,485.9","6,830.9","40,587.5","15,576.4","63,200"
223,BUNGE,美国,"22,345.0",411.0,"9,884.0","2,377.0","23,295"
224,MITSUBISHI MOTORS,日本,"22,304.7","-1,907.2","19,503.3",288.1,"49,000"
225,SANYO ELECTRIC,日本,"22,203.5",25.3,"25,609.0","4,964.4","82,337"
226,CONAGRA FOODS,美国,"22,052.5",774.8,"15,071.4","4,621.7","63,000"
227,JFE HOLDINGS,日本,"21,900.0",946.1,"35,799.7","7,173.5","52,557"
228,HCA,美国,"21,808.0","1,332.0","21,063.0","6,209.0","161,000"
229,ALCOA,美国,"21,728.0",938.0,"31,711.0","12,075.0","120,000"
230,DELHAIZE GROUP,比利时,"21,719.9",193.8,"12,006.7","4,205.2","141,711"
231,STANDARD LIFE ASSURANCE,英国,"21,711.9",N.A,"151,935.8",N.A,"14,586"
232,ELECTRONIC DATA SYSTEMS,美国,"21,596.0","-1,698.0","18,280.0","5,714.0","132,000"
233,BANK ONE CORP,美国,"21,454.0","3,535.0","326,563.0","23,419.0","71,196"
234,VINCI,法国,"21,363.2",612.7,"27,551.7","3,704.4","127,513"
235,COMCAST,美国,"21,263.0","3,240.0","109,159.0","41,662.0","68,000"
236,MASS. MUTUAL LIFE INSURANCE,美国,"21,075.8",735.0,"108,617.1","6,282.0","10,906"
237,COCA-COLA,美国,"21,044.0","4,347.0","27,342.0","14,090.0","49,000"
238,MITSUBISHI HEAVY INDUSTRIES,日本,"21,012.1",192.9,"35,712.4","12,731.2","59,949"
239,BRISTOL-MYERS SQUIBB,美国,"20,894.0","3,106.0","27,471.0","9,786.0","44,000"
240,GEORGE WESTON,加拿大,"20,838.4",565.2,"13,417.0","3,452.9","142,000"
241,CHINA LIFE INSURANCE,中国,"20,782.1",32.2,"55,068.0","2,377.9","78,187"
242,272CHINA MOBILE CO182MMUNICATIONS242,中国,"20,764.7","3,579.9","49,733.8","32,395.9","116,189"
243,INDUSTRIAL＆COMMERCIAL BANK OF CHINA,中国,"20,757.3",298.8,"637,828.6","20,600.1","389,045"
244,LA POSTE,法国,"20.,376.3",228.6,"67,350.0","2,319.6","315,364"
245,WELLPOINT HEALTH NETWORKS,美国,"20,359.7",935.2,"14,788.7","5,429.9","19,100"
246,GEORGIA-PACIFIC,美国,"20,255.0",254.0,"24,405.0","5,394.0","61,000"
247,SUPERVALU,美国,"20,209.7",280.1,"6,152.9","2,209.6","55,200"
248,AVENTIS,法国,"20,162.4","2,151.5","35,666.6","13,160.7","75,567"
249,SHARP,日本,"19,983.7",537.5,"20,668.4","9,069.3","46,164"
250,BRIDGESTONE,日本,"19,877.3",765.4,"20,720.3","8,285.7","108,741"
251,WEYERHAEUSER,美国,"19,873.0",277.0,"28,109.0","7,109.0","55,162"
252,ALMANIJ,比利时,"19,745.5","1,060.7","327,478.2","10,101.7","50,948"
253,BRITISH AMERICAN TOBACCO,英国,"19,684.1","1,031.5","33,975.1","8,025.2","60,915"
254,ABBOTT LABORATORIES,美国,"19,680.6","2,753.2","26,715.3","13,072.3","72,181"
255,ALSTOM,法国,"19,627.1","-2,159.4","23,009.4",35.6,"76,811"
256,SUZUKI MOTOR,日本,"19,467.7",388.1,"15,165.1","6,654.9","38,493"
257,CHINA TELECOMMUNICATIONS,中国,"19,464.5","1,708.4","61,741.8","30,386.7","371,139"
258,AUTONATION,美国,"19,381.1",479.2,"8,823.1","3,949.7","28,000"
259,LUKOIL,俄罗斯,"19,345.0","3,701.0","26,574.0","17,472.0","150,000"
260,LANDESBANK BADEN-WURTTEMBERG,德国,"19,270.8",385.5,"407,150.6","11,307.3","12,648"
261,WILLIAMS,美国,"19,265.6",-492.2,"27,021.8","1,102.1","13,400"
262,ROYAL＆SUN ALLIANCE,英国,"19,259.1",-624.5,"98,366.4","5,372.2","31,980"
263,SAMSUNG LIFE INSURANCE,韩国,"19,159.0",276.8,"72,697.2","8,753.6","6,314"
264,BANCO BILBAO VIZCAYA ARGENTARIA,西班牙,"19,144.9","2,520.4","362,190.9","21,834.9","86,197"
265,KOREA ELECTRIC POWER,韩国,"19,144.3","1,950.0","60,198.5","31,602.2","19,371"
266,BERTELSMANN,德国,"19,014.8",174.3,"25,433.5","8,408.0","73,221"
267,DEXIA GROUP,比利时,"18,889.1","1,619.6","441,324.2","12,348.4","23,865"
268,CISCO SYSTEMS,美国,"18,878.0","3,578.0","37,107.0","28,029.0","34,000"
269,ASTRAZENECA,英国,"18,849.0","3,036.0","23,573.0","13,178.0","61,900"
270,SINOCHEM,中国,"18,846.1",123.4,"5,454.7","1,394.6","12,000"
271,GAZ DE FRANCE,法国,"18,840.5","1,029.9","39,803.8","12,092.4","36,072"
272,CIGNA,美国,"18,808.0",668.0,"90,953.0","4,519.0","32,700"
273,ENDESA,西班牙,"18,768.0","1,484.9","58,080.5","11,101.0","26,777"
274,HARTFORD FINANCIAL SERVICES,美国,"18,733.0",-91.0,"225,853.0","11,639.0","30,000"
275,ANGLO AMERICAN,英国,"18,637.0","1,592.0","43,727.0","20,394.0","193,000"
276,WASHINGTON MUTUAL,美国,"18,629.0","3,880.0","275,178.0","19,742.0","63,720"
277,CHUBU ELECTRIC POWER,日本,"18,600.8","1,015.6","58,251.0","13,237.6","25,250"
278,ADECCO,瑞士,"18,391.2",345.2,"7,953.9","1,951.3","28,000"
279,MITSUI SUMITOMO INSURANCE,日本,"18,294.8",688.7,"68,505.1","13,475.3","15,980"
280,SARA LEE,美国,"18,291.0","1,221.0","15,084.0","2,052.0","145,800"
281,3M,美国,"18,232.0","2,403.0","17,600.0","7,885.0","67,072"
282,CENDANT,美国,"18,192.0","1,172.0","39,037.0","10,186.0","87,400"
283,GROUPAMA,法国,"18,155.8",175.4,"84,907.7","5,092.0","28,900"
284,RAYTHEON,美国,"18,109.0",365.0,"23,668.0","9,162.0","78,000"
285,UNICREDITO ITALIANO,意大利,"18,092.2","2,218.9","300,519.0","16,413.1","69,062"
286,COMPASS GROUP,英国,"18,072.0",294.6,"14,311.3","4,284.8","412,574"
287,LUFTHANSA GROUP,德国,"18,059.6","-1,113.7","21,104.6","3,346.3","93,246"
288,MICHELIN,法国,"18,047.6",359.4,"20,391.8","5,458.2","127,210"
289,AETNA,美国,"17,976.4",933.8,"40,950.2","7,924.0","27,600"
290,JAPAN TOBACCO,日本,"17,881.4",-67.3,"29,115.8","14,494.4","39,243"
291,BANCA INTESA,意大利,"17,789.1","1,374.0","328,214.0","16,223.2","60,040"
292,IDEMITSU KOSAN,日本,"17,669.6",33.1,"21,856.9","2,982.2","8,242"
293,VISTEON,美国,"17,660.0","-1,213.0","10,964.0","1,858.0","72,000"
294,DAIEI,日本,"17,518.3",159.5,"20,691.6",810.2,"22,730"
295,NEWS CORP.,澳大利亚,"17,493.9","1,057.4","45,434.5","21,678.1","37,000"
296,AMR,美国,"17,440.0","-1,228.0","29,330.0",46.0,"96,400"
297,JAPAN POST,日本,"17,430.8",233.1,"22,207.6",-5.3,"121,489"
298,TECH DATA,美国,"17,406.3",104.1,"4,167.9","1,658.5","8,400"
299,COCA-COLA ENTERPRISES,美国,"17,330.0",676.0,"25,700.0","1,365.0","74,000"
300,COMMERZBANK,德国,"17,316.0","-2,522.7","481,304.6","11,466.8","32,377"
301,LEHMAN BROTHERS HOLDINGS,美国,"17,287.0","1,699.0","312,061.0","13,174.0","16,188"
302,KARSTADTQUELLE,德国,"17,282.5",121.7,"11,595.0","2,067.8","100,956"
303,ROYAL BANK OF CANADA,加拿大,"17,203.9","2,082.1","305,781.0","13,941.1","60,812"
304,OLD MUTUAL,英国,"17,145.4",446.3,"103,513.1","5,125.2","44,689"
305,MCDONALD’S,美国,"17,140.5","1,471.4","25,525.1","11,981.9","418,000"
306,JAPAN AIRLINES SYSTEM,日本,"17,101.8",-784.5,"20,314.4","1,530.9","54,053"
307,NORTHWESTERN MUTUAL,美国,"17,059.7",692.3,"113,822.1","7,546.8","4,427"
308,MITSUBISHI CHEMICAL,日本,"17,045.0",305.8,"19,239.6","3,816.6","33,496"
