排名,公司名称,国家地区,营业收入百万美元,利润百万美元,资产百万美元,股东权益百万美元,雇员人数
376,BANCO BRADESCO,巴西,"15,899.0","1,046.1","69,625.9","5,728.4","73,644"
377,TAISEI,日本,"15,892.0",177.7,"16,971.9","2,409.7","16,723"
378,COMPUTER SCIENCES,美国,"15,849.1",810.2,"12,633.9","6,494.7","79,000"
379,BOMBARDIER,加拿大,"15,839.0",-85.0,"20,080.0","2,298.0","59,550"
380,AKZO NOBEL,荷兰,"15,780.8","1,064.7","16,861.1","4,126.6","61,450"
381,XEROX,美国,"15,722.0",859.0,"24,884.0","6,244.0","58,100"
382,NATIONAL GRID TRANSCO,英国,"15,720.2","1,675.2","46,693.9","2,568.0","24,406"
383,TNT,荷兰,"15,714.9",829.6,"11,257.1","3,758.2","162,244"
384,KAJIMA,日本,"15,700.6",123.0,"16,994.3","2,054.4","16,003"
385,CONTINENTAL,德国,"15,668.2",838.0,"13,162.0","3,863.3","80,586"
386,CEPSA,西班牙,"15,650.0",808.2,"9,389.3","4,474.5","10,640"
387,FEDERATED DEPARTMENT STORES,美国,"15,630.0",689.0,"14,885.0","6,167.0","112,000"
388,EMERSON ELECTRIC,美国,"15,615.0","1,257.0","16,361.0","7,238.0","107,800"
389,KOC HOLDING,土耳其,"15,578.8",355.8,"14,170.3","3,082.1","37,606"
390,MEDICEO HOLDINGS,日本,"15,499.9",81.2,"7,932.0","1,571.6","9,496"
391,VATTENFALL,瑞典,"15,433.1","1,603.1","38,660.0","9,377.3","33,017"
392,STORA ENSO,芬兰,"15,417.4",920.0,"22,307.4","10,943.2","45,307"
393,HANWHA,韩国,"15,406.3",209.4,"41,585.4","1,129.9","2,766"
394,KIMBERLY-CLARK,美国,"15,400.9","1,800.2","17,018.0","6,629.5","60,000"
395,PREMCOR,美国,"15,334.8",477.9,"5,689.6","2,134.4","2,300"
396,COSMO OIL,日本,"15,296.5",245.8,"12,370.4","2,130.6","5,793"
397,AGRICULTURAL BANK OF CHINA,中国,"15,284.6",242.0,"484,959.6","9,431.9","489,425"
398,CRH,爱尔兰,"15,273.5",947.9,"16,130.7","7,092.1","60,411"
399,ALCATEL,法国,"15,254.7",349.5,"25,875.5","4,577.9","55,718"
400,KFW BANKENGRUPPE,德国,"15,218.9",458.3,"446,634.5","11,356.2","3,697"
401,TELSTRA,澳大利亚,"15,193.1","2,939.4","24,376.1","10,699.1","41,941"
402,CHINESE PETROLEUM,中国台湾,"15,189.5",561.7,"15,129.1","8,373.1","15,089"
403,WILLIAM HILL,英国,"15,185.7",271.7,"1,806.2",481.9,"11,217"
404,GASUNIE,荷兰,"15,117.2",45.1,"5,084.3",296.0,"1,477"
405,EXPRESS SCRIPTS,美国,"15,114.7",278.2,"3,600.1","1,196.3","10,828"
