排名,公司名称,国家,营业收入(百万美元),利润(百万美元),雇员人数
361,T&D HOLDINGS,日本,"19,544.70",331.5,"21,569"
362,HOCHTIEF,德国,"19,457.20",111.8,"46,847"
363,CONSTELLATION ENERGY,美国,"19,446.10",936.4,"9,645"
364,CFE,墨西哥,"19,405.10",190.8,"78,890"
365,OTTO GROUP,德国,"19,397.50",208.9,"53,051"
366,UAL,美国,"19,340.00","22,876.00","55,000"
367,APPLE,美国,"19,315.00","1,989.00","18,987"
368,AUTONATION,美国,"19,314.40",316.9,"26,000"
369,OIL & NATRUAL GAS,印度,"19,237.40","3,929.20","34,807"
370,SCHLUMBERGER,美国,"19,230.50","3,709.90","70,000"
371,CORUS GROUP,英国,"19,171.30",410.3,"41,200"
372,HOLCIM,瑞士,"19,118.50","1,678.20","88,783"
373,U.S. BANCORP,美国,"19,109.00","4,751.00","50,423"
374,HANWHA,韩国,"19,085.50",286.5,"2,796"
375,MAN GROUP,德国,"19,051.90","1,160.60","53,715"
376,AUSTRALIA & NEW ZEALAND BANKING,澳大利亚,"19,039.50","2,752.60","32,256"
377,OCCIDENTAL PETROLEUM,美国,"19,029.00","4,182.00","8,886"
378,FLEXTRONICS INTERNATIONAL,新加坡,"18,968.00",508.6,"116,000"
379,SHV HOLDINGS,荷兰,"18,962.00",521.9,"34,600"
380,CHUBU ELETRIC POWER,日本,"18,927.00",774.2,"28,697"
381,KARSTADT QUELLE,德国,"18,920.30",433.6,"55,272"
382,MITSUBISHI MOTORS,日本,"18,833.60",74.8,"33,739"
383,ALSTOM,法国,"18,754.00",574.5,"66,569"
384,CHINA RAILWAY CONSTRUCTION,中国,"18,735.70",70.2,"245,540"
385,CHINA FAW GROUP,中国,"18,710.70",70,"136,010"
386,CONTINENTAL,德国,"18,678.00","1,231.90","85,224"
387,BAYERISCHE LANDESBANK,德国,"18,617.90",696.7,"10,080"
388,KT,韩国,"18,598.10","1,353.10","37,514"
389,SARA LEE,美国,"18,539.00",555,"109,000"
390,MEDICEO PALTAC HOLDINGS,日本,"18,524.90",163.3,"10,664"
391,NIPPON YUSEN,日本,"18,503.70",556,"29,841"
392,SURGUTNEFTEGAS,俄罗斯,"18,413.10","2,836.60","85,390"
393,STORA ENSO,芬兰,"18,310.30",734,"45,631"
394,ACCENTURE,美国,"18,228.40",973.3,"140,000"
395,LAGARDERE GROUP,法国,"18,187.40",365.1,"50,519"
396,CHINA STATE CONSTRUCTION,中国,"18,163.20",281.3,"294,309"
397,STAPLES,美国,"18,160.80",973.7,"56,542"
398,CEMEX,墨西哥,"18,135.60","2,356.00","50,000"
399,MITSUI SUMITOMO INSURANCE,日本,"18,100.10",519.8,"18,882"
