ticker,start_date,end_date,start_price,end_price,total_return,cagr,total_return_pct,cagr_pct
XOM,2008-10-15,2025-10-22,33.483791,114.709999,2.4258366348336526,0.0750352441764024,242.58366348336526,7.503524417640239
UBS,2008-10-15,2025-10-22,11.542344,38.060001,2.2974239084856887,0.07262464232501742,229.74239084856887,7.262464232501742
NESN.SW,2008-10-15,2025-10-22,24.989986,81.839996,2.2749115971286717,0.0721929526747851,227.4911597128672,7.219295267478509
G.MI,2008-10-15,2025-10-22,10.564456,32.279999,2.055528729733377,0.0678334145246886,205.5528729733377,6.783341452468861
0386.HK,2008-10-15,2025-10-22,1.440718,4.13,1.8666264315155416,0.06383669637981049,186.66264315155416,6.383669637981049
BAC,2008-10-15,2025-10-22,18.069313,51.099998,1.827998957937933,0.06298898327652225,182.7998957937933,6.298898327652225
ING,2008-10-15,2025-10-22,8.516194,23.799999,1.7946754473773825,0.062248867537019414,179.46754473773825,6.2248867537019414
0857.HK,2008-10-15,2025-10-22,2.837104,7.89,1.7810051955200459,0.06194284569746622,178.10051955200458,6.194284569746622
GM,2010-11-18,2025-10-22,25.546808,67.309998,1.6347713154174461,0.0670558527456091,163.47713154174463,6.70558527456091
AIG,2008-10-15,2025-10-22,30.707329,78.940002,1.5707218939439302,0.05704796623314223,157.07218939439304,5.704796623314223
BNP.PA,2008-10-15,2025-10-22,26.904478,68.370003,1.54121275130364,0.05633110890677773,154.121275130364,5.633110890677773
E,2008-10-15,2025-10-22,14.058211,35.43,1.520235290398554,0.05581672882009725,152.02352903985542,5.581672882009725
HPQ,2008-10-15,2025-10-22,11.200332,27.66,1.4695697072281009,0.05455756263253919,146.9569707228101,5.455756263253919
HSBC,2008-10-15,2025-10-22,28.469759,66.449997,1.3340554789237533,0.051066234763656126,133.40554789237532,5.106623476365613
HMC,2008-10-15,2025-10-22,14.52202,31.84,1.1925324030129287,0.04721021452183982,119.25324030129288,4.721021452183982
ORA.PA,2008-10-15,2025-10-22,6.449721,14.07,1.1814897111461629,0.04689956294507103,118.14897111461629,4.689956294507103
SAN,2008-10-15,2025-10-22,4.507435,9.77,1.1675300462001852,0.046504726321968226,116.75300462001852,4.650472632196823
GLE.PA,2008-10-15,2025-10-22,24.644306,52.880001,1.1457289434624123,0.045883287968156994,114.57289434624123,4.588328796815699
BP,2008-10-15,2025-10-22,16.489117,34.32,1.0813728463677346,0.04401353384685547,108.13728463677346,4.401353384685547
PBR,2008-10-15,2025-10-22,6.089978,11.73,0.9261151882965422,0.039268658691911096,92.61151882965422,3.9268658691911096
AV.L,2008-10-15,2025-10-22,382.550201,664.400024,0.7367655851566024,0.032968575674936274,73.67655851566025,3.2968575674936274
BARC.L,2008-10-15,2025-10-22,220.317444,382.0,0.7338618010843618,0.03286701363763167,73.38618010843618,3.286701363763167
6752.T,2008-10-15,2025-10-22,1144.790039,1833.5,0.6016037329443429,0.02806265866010249,60.16037329443429,2.806265866010249
EOAN.DE,2008-10-15,2025-10-22,10.305265,16.105,0.5627932785321734,0.026581862166328296,56.27932785321734,2.6581862166328296
DBK.DE,2008-10-15,2025-10-22,19.701212,28.575001,0.4504184242803517,0.02209035637384149,45.041842428035174,2.209035637384149
UCG.MI,2008-10-15,2025-10-22,43.821682,61.580002,0.405240489498625,0.020191679376978522,40.524048949862504,2.019167937697852
TSCO.L,2008-10-15,2025-10-22,421.245941,448.200012,0.06398654185382191,0.003651083807004074,6.398654185382191,0.3651083807004074
7201.T,2008-10-15,2025-10-22,360.60495,377.700012,0.0474066211741524,0.0027252908814408006,4.74066211741524,0.27252908814408006
066570.KS,2008-10-15,2025-10-22,91527.6875,89600.0,-0.02106124990866831,-0.0012499879553694582,-2.106124990866831,-0.12499879553694582
CA.PA,2008-10-15,2025-10-22,14.912531,13.475,-0.09639748794551761,-0.005938511072760222,-9.63974879455176,-0.5938511072760222
TEF,2008-10-15,2025-10-22,5.999272,5.32,-0.11322576065943768,-0.007035975670989569,-11.322576065943768,-0.7035975670989569
MT,2008-10-15,2025-10-22,44.748833,38.82,-0.13249134446054855,-0.008316720179565085,-13.249134446054855,-0.8316720179565085
C,2008-10-15,2025-10-22,119.359505,96.300003,-0.19319367741985793,-0.012534807326618824,-19.319367741985793,-1.2534807326618824
YPF,2008-10-15,2025-10-22,30.68251,24.75,-0.19335153164721264,-0.012546160778695192,-19.335153164721262,-1.2546160778695192
NWG.L,2008-10-15,2025-10-22,696.951782,544.799988,-0.2183103599326658,-0.014368134179753689,-21.83103599326658,-1.4368134179753689
VOD.L,2008-10-15,2025-10-22,117.37307,88.260002,-0.24803873397613918,-0.016611129486944876,-24.80387339761392,-1.6611129486944876
TKA.DE,2008-10-15,2025-10-22,13.046685,9.19,-0.29560655244958844,-0.02037991606406253,-29.560655244958845,-2.037991606406253
NOK,2008-10-15,2025-10-22,8.641231,5.55,-0.3577303443874271,-0.0256801704742039,-35.77303443874271,-2.56801704742039
VWAGY,2008-10-15,2025-10-22,33.520004,10.41,-0.6894391849476982,-0.066404576576515,-68.94391849476982,-6.640457657651499
